clump_id,area_pix,area_arcsec2,r_eff_arcsec,x0,y0,area_kpc2,r_eff_kpc,inside,component
0,86,0.034399999999999306,0.10464157913908878,364.7674418604651,113.29069767441861,0.6888224198364515,0.4682509861804716,True,disk
1,101,0.04039999999999919,0.11340070282773773,251.16831683168317,164.75247524752476,0.8089658651567628,0.5074463838324409,True,disk
2,105,0.041999999999999156,0.115624457705621,420.8666666666667,176.78095238095239,0.8410041172421793,0.5173972601777647,False,outside
3,255,0.10199999999999794,0.18018770321735608,326.84705882352944,114.83529411764705,2.042438570445292,0.8063053943115011,True,disk
4,35,0.013999999999999718,0.06675581178124479,335.22857142857146,133.62857142857143,0.28033470574739305,0.2987194474416073,True,disk
6,125,0.04999999999999899,0.12615662610100672,120.048,76.248,1.0011953776692608,0.564526692649373,False,outside
7,275,0.10999999999999778,0.18712051592547588,16.883636363636363,456.1890909090909,2.202629830872374,0.8373284007902799,False,outside
8,311,0.1243999999999975,0.19899183360445413,238.7684887459807,423.5594855305466,2.4909740996411216,0.8904502693264436,False,outside
9,164,0.06559999999999867,0.14450303987686988,191.609756097561,308.9573170731707,1.3135683355020702,0.6466233736637544,False,outside
10,265,0.10599999999999786,0.18368682025524077,187.55849056603773,124.55849056603773,2.122534200658833,0.821963271583905,True,disk
11,136,0.05439999999999891,0.1315904928495895,425.93382352941177,243.46323529411765,1.089300570904156,0.5888422036033424,False,outside
12,35,0.013999999999999718,0.06675581178124479,476.42857142857144,190.77142857142857,0.28033470574739305,0.2987194474416073,False,outside
13,167,0.06679999999999865,0.14581872443920496,235.52095808383234,133.38922155688624,1.3375970245661326,0.6525108096035059,True,disk
14,199,0.0795999999999984,0.1591774699517153,92.15075376884423,295.0502512562814,1.5939030412494635,0.7122886322609077,False,outside
15,93,0.03719999999999925,0.10881694613449126,314.64516129032256,273.9247311827957,0.7448893609859301,0.48693495224202993,False,outside
16,94,0.037599999999999245,0.10940041919714151,121.95744680851064,268.8723404255319,0.7528989240072843,0.4895458822303147,False,outside
17,55,0.021999999999999558,0.0836828387188392,64.72727272727273,415.41818181818184,0.44052596617447487,0.37446464473165086,False,outside
18,22,0.008799999999999822,0.05292567428401174,341.59090909090907,204.5,0.17621038646978993,0.23683223611155765,True,disk
19,68,0.027199999999999454,0.09304852983362463,256.3529411764706,213.05882352941177,0.544650285452078,0.4163743152167531,True,disk
20,290,0.11599999999999766,0.19215604803731517,447.50344827586207,232.79310344827587,2.3227732761926854,0.8598614406842793,False,outside
21,100,0.039999999999999196,0.11283791670955012,423.98,194.56,0.8009563021354088,0.5049280239508517,False,outside
22,321,0.1283999999999974,0.2021657473114521,326.58255451713393,237.29595015576325,2.571069729854662,0.9046529240988651,False,outside
23,201,0.08039999999999838,0.15997535700593468,359.55721393034827,162.08955223880596,1.6099221672921715,0.7158590237159358,True,disk
24,362,0.14479999999999707,0.21468877828012334,41.270718232044196,400.4585635359116,2.8994618137301797,0.9606910845441946,False,outside
25,193,0.07719999999999845,0.15675944377736273,274.0518134715026,296.04145077720204,1.545845663121339,0.7014684291440776,False,outside
26,34,0.013599999999999727,0.06579524642479476,4.147058823529412,316.8529411764706,0.272325142726039,0.2944211018016712,False,outside
27,95,0.037999999999999236,0.1099807968464668,158.8,423.4,0.7609084870286383,0.4921429608379726,False,outside
28,181,0.07239999999999853,0.15180789096653038,207.23756906077347,252.43093922651934,1.4497309068650899,0.6793111805066588,False,outside
