clump_id,x,y
0,109,37
0,110,37
0,111,37
0,112,37
0,108,38
0,109,38
0,110,38
0,111,38
0,112,38
0,107,39
0,108,39
0,109,39
0,110,39
0,111,39
0,112,39
0,113,39
0,106,40
0,107,40
0,108,40
0,109,40
0,110,40
0,111,40
0,112,40
0,113,40
0,105,41
0,106,41
0,107,41
0,108,41
0,109,41
0,110,41
0,111,41
0,112,41
0,113,41
0,105,42
0,106,42
0,107,42
0,108,42
0,109,42
0,110,42
0,111,42
0,112,42
0,113,42
0,104,43
0,105,43
0,106,43
0,107,43
0,108,43
0,109,43
0,110,43
0,111,43
0,112,43
0,113,43
0,103,44
0,104,44
0,105,44
0,106,44
0,107,44
0,108,44
0,109,44
0,110,44
0,111,44
0,112,44
0,113,44
0,103,45
0,104,45
0,105,45
0,106,45
0,107,45
0,108,45
0,109,45
0,110,45
0,111,45
0,103,46
0,104,46
0,105,46
0,106,46
0,107,46
0,108,46
0,109,46
0,110,46
0,103,47
0,104,47
0,105,47
0,106,47
0,107,47
0,108,47
0,109,47
0,110,47
0,104,48
0,105,48
0,106,48
0,107,48
0,108,48
0,106,49
1,60,41
1,61,41
1,62,41
1,63,41
1,58,42
1,59,42
1,60,42
1,61,42
1,62,42
1,63,42
1,64,42
1,56,43
1,57,43
1,58,43
1,59,43
1,60,43
1,61,43
1,62,43
1,63,43
1,55,44
1,56,44
1,57,44
1,58,44
1,59,44
1,60,44
1,61,44
1,62,44
1,63,44
1,55,45
1,56,45
1,57,45
1,58,45
1,59,45
1,60,45
1,61,45
1,62,45
1,54,46
1,55,46
1,56,46
1,57,46
1,58,46
1,59,46
1,60,46
1,61,46
1,54,47
1,55,47
1,56,47
1,57,47
1,58,47
1,59,47
1,60,47
1,53,48
1,54,48
1,55,48
1,56,48
1,57,48
1,58,48
1,59,48
1,60,48
1,52,49
1,53,49
1,54,49
1,55,49
1,56,49
1,57,49
1,58,49
1,59,49
1,52,50
1,53,50
1,54,50
1,55,50
1,56,50
1,52,51
1,53,51
1,54,51
1,55,51
1,52,52
1,53,52
1,54,52
1,52,53
1,53,53
1,54,53
1,52,54
1,53,54
4,149,69
4,146,70
4,147,70
4,149,70
4,144,71
4,145,71
4,146,71
4,147,71
4,148,71
4,149,71
4,150,71
4,144,72
4,145,72
4,146,72
4,147,72
4,148,72
4,149,72
4,150,72
4,151,72
4,152,72
4,144,73
4,145,73
4,146,73
4,147,73
4,148,73
4,149,73
4,150,73
4,151,73
4,152,73
4,153,73
4,145,74
4,146,74
4,147,74
4,148,74
4,149,74
4,150,74
4,151,74
4,152,74
4,153,74
4,148,75
4,149,75
4,150,75
4,151,75
4,152,75
5,122,16
5,123,16
5,124,16
5,121,17
5,122,17
5,123,17
5,124,17
5,120,18
5,121,18
5,122,18
5,123,18
5,120,19
5,121,19
5,122,19
5,120,20
5,121,20
5,122,20
6,81,121
6,82,121
6,80,122
6,81,122
6,82,122
6,83,122
6,84,122
6,79,123
6,80,123
6,81,123
6,82,123
6,83,123
6,84,123
6,79,124
6,80,124
6,81,124
6,82,124
6,83,124
6,84,124
6,79,125
6,80,125
6,81,125
6,82,125
6,83,125
6,84,125
6,79,126
6,80,126
6,81,126
6,82,126
6,83,126
6,79,127
6,80,127
6,81,127
6,82,127
6,79,128
7,106,61
7,107,61
7,104,62
7,105,62
7,106,62
7,107,62
7,108,62
7,103,63
7,104,63
7,105,63
7,106,63
7,107,63
7,108,63
7,109,63
7,102,64
7,103,64
7,104,64
7,105,64
7,106,64
7,107,64
7,108,64
7,101,65
7,102,65
7,103,65
7,104,65
7,105,65
7,106,65
7,107,65
7,108,65
7,101,66
7,102,66
7,103,66
7,104,66
7,105,66
7,106,66
7,107,66
7,108,66
7,101,67
7,102,67
7,103,67
7,104,67
7,105,67
7,106,67
7,107,67
7,101,68
7,102,68
7,103,68
7,104,68
7,105,68
7,106,68
